,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
576,150.0615845,2.1844797,1,0.009408,70019200000.0,1.9571,0.295619,0.385741,0.340148,0,,
623,150.0860443,2.1847978,1,0.0372,258982000000.0,1.8092,0.145062,0.612977,2.65565,0,,
624,150.0867615,2.1847994,1,0.03757,266120000000.0,1.7438,0.707007,0.989606,2.26219,0,,
625,150.0595398,2.1848972,1,0.002985,89167800000.0,2.8434,0.379017,1.28322,1.89406,0,,
629,150.1026306,2.1854253,1,0.092191,1137390000000.0,2.3934,0.232359,0.455616,2.30855,0,,
632,150.102829,2.1855614,1,0.0114,486721000000.0,3.0324,0.444117,0.482756,1.29592,0,,
647,150.0609436,2.1855509,1,0.004806,4949350000.0,0.8816,0.197606,0.427118,0.835733,0,,
650,150.1047058,2.1856146,1,0.008547,9438660000.0,0.9108,0.16655,0.338262,0.24331,0,,
655,150.0529938,2.1858535,1,0.01368,1609460000000.0,3.498,0.32248,0.347047,0.27759,0,,
658,150.1043701,2.185241,1,0.01173,99522600000.0,2.1527,0.854617,1.33125,1.52083,0,,
667,150.1267548,2.1856854,1,0.03742,29840900000.0,0.7575,0.287135,0.592151,0.736507,0,,
671,150.0736084,2.1859293,1,0.02027,144496000000.0,1.888,0.397247,0.55161,0.834313,0,,
674,150.0864563,2.1856904,1,0.005996,41162200000.0,1.5789,0.5311,0.829256,1.14645,0,,
678,150.0774536,2.1853943,1,0.09157,820828000000.0,2.1513,0.284851,1.25978,7.54117,0,,
684,150.091156,2.1854126,1,0.002585,6705140000.0,1.2052,0.339674,1.21072,6.47804,0,,
689,150.0868378,2.18507,1,0.007162,905526000000.0,0.4733,2.08229,2.91036,2.38647,0,,
693,150.0804443,2.1857123,1,0.01263,12798900000.0,0.8788,0.569452,1.25268,2.91609,0,,
695,150.2024536,2.1863301,1,0.01362,96852200000.0,1.6262,0.289372,0.478428,0.598291,0,,
696,150.1037445,2.1850903,1,0.009583,20722400000.0,1.1494,1.56888,3.90799,8.10964,0,,
697,150.2019348,2.1859756,1,0.0008787,59154200.0,0.2925,0.395563,0.842882,1.18978,0,,
699,150.0814362,2.1864877,1,0.02446,1269670000000.0,3.1207,0.29997,0.533387,0.609877,0,,
701,150.0807648,2.1863325,1,0.009112,9233880000.0,0.8756,0.103762,0.246614,0.727151,0,,
704,150.1586914,2.1858327,1,0.007658,7886410000.0,0.8839,0.41754,1.03778,1.48177,0,,
707,150.0913239,2.1865301,1,0.01241,14670500000.0,0.9458,0.111636,0.320715,0.687368,0,,
708,150.1644592,2.1866086,1,0.005484,1474140000.0,0.4819,0.199726,0.295624,0.358272,0,,
709,150.0505981,2.1866231,1,0.00363,29852200000.0,2.0623,0.212013,0.348075,0.266927,0,,
714,150.1638489,2.18612,1,0.00949,43356100000.0,1.3553,0.653642,1.22,1.716,0,,
716,150.1592102,2.1862979,1,0.04704,354481000000.0,1.9731,0.567582,0.927105,1.77216,0,,
721,150.0764008,2.18609,1,0.03923,688550000000.0,2.568,1.15836,3.01715,6.35456,0,,
727,150.1253052,2.1864247,1,0.006228,4249320000.0,0.7047,0.255381,0.542722,0.753692,0,,
733,150.1222839,2.1870849,1,0.01074,61907300000.0,1.4574,0.155016,0.230944,0.248848,0,,
735,150.1721344,2.1864839,1,0.002123,2509710000.0,0.9406,0.631266,1.2728,1.78026,0,,
737,150.0712433,2.1865456,1,0.0001669,81841300.0,0.6039,0.191892,0.538793,1.47403,0,,
738,150.0734253,2.186229,1,0.05533,1008540000000.0,2.5897,0.49749,1.29454,4.19286,0,,
744,150.0874176,2.1860104,1,0.01499,15437100000.0,0.8875,1.04569,2.53916,5.50052,0,,
745,150.0869751,2.1864257,1,0.01052,6282120000.0,0.6649,0.2784,1.21368,2.98821,0,,
750,150.1569672,2.1866355,1,0.003069,3160540000.0,0.8796,0.565785,1.04885,1.83942,0,,
754,150.1598969,2.1871042,1,0.007633,49212300000.0,1.5332,0.286603,0.553331,0.707548,0,,
757,150.1037445,2.1870694,1,0.01003,70387300000.0,1.7661,0.115258,0.334662,0.675202,0,,
759,150.1533203,2.1862833,1,0.01697,17841300000.0,0.8921,2.04252,3.97345,6.53922,0,,
760,150.0853577,2.1863894,1,0.003809,31792100000.0,2.0725,0.506675,2.2556,5.43364,0,,
761,150.0884705,2.1870916,1,0.01639,10040400000.0,0.6702,0.0683828,0.220916,0.692524,0,,
768,150.1692505,2.1866107,1,0.01264,9582700000.0,0.7435,1.0236,2.14713,3.76102,0,,
769,150.1979218,2.1867216,1,0.01156,10698400000.0,0.8204,0.531416,1.51912,4.28207,0,,
772,150.0818481,2.1869929,1,0.1043,757833000000.0,1.9246,0.137081,0.833177,3.96369,0,,
774,150.1021423,2.1872745,1,0.005216,33629200000.0,1.5258,0.454105,0.630191,0.746655,0,,
776,150.1833649,2.1866722,1,0.05334,602916000000.0,2.3496,0.819039,2.25466,3.95788,0,,
778,150.1570435,2.1873751,1,0.05679,1485090000000.0,2.7655,0.964125,1.43228,3.2118,0,,
785,150.1781006,2.187731,1,0.001745,3879980000.0,1.1542,0.165566,0.314028,0.690306,0,,
793,150.1545563,2.1871579,1,0.03273,8814260000000.0,4.1645,0.840057,1.79628,1.93792,0,,
794,150.1571045,2.1870289,1,0.009587,206644000.0,0.1859,0.564289,1.10602,1.71909,0,,
798,150.0947723,2.1879032,1,0.005789,707735000.0,0.3649,0.0569023,0.219463,0.458785,0,,
800,150.1519623,2.1879144,1,0.02067,41130800000.0,1.1125,0.249121,0.399538,0.577203,0,,
801,150.1033783,2.1857498,1,0.02405,8593060000.0,0.5201,4.57718,7.79122,12.0217,0,,
802,150.1205292,2.1870167,1,0.006207,7517560000.0,0.9526,1.58672,2.92486,4.48067,0,,
803,150.1047363,2.1874046,1,0.01037,81481500000.0,2.0045,0.568976,1.29515,2.49455,0,,
804,150.2028503,2.1874964,1,0.002112,14821300000.0,1.7713,0.944123,1.4845,1.77858,0,,
807,150.0830841,2.1880548,1,0.001112,270476000000.0,3.9707,0.288366,1.03334,3.42222,0,,
808,150.1039429,2.1864316,1,0.4261,3766110000000.0,2.1397,0.771221,4.41147,29.4998,0,,
810,150.1578674,2.1871293,1,0.04274,298229000000.0,1.8311,0.294602,2.25236,11.122,0,,
812,150.1002197,2.1879127,1,0.003676,1909910000.0,0.6232,0.139287,0.373473,0.761088,0,,
816,150.0715027,2.1872392,1,0.015,18167100000.0,0.9489,0.746852,1.76879,3.64665,0,,
