,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
630,34.3898544,-5.2987947,1,0.1144,6471050000.0,0.2673,18.6831,115.263,488.478,0,,
890,34.3972206,-5.297718,1,0.2618,19811600000.0,0.3004,6.88781,38.4376,164.561,0,,
1143,34.3106842,-5.2927265,1,1.647,14371000000.0,0.1297,72.9761,274.593,859.518,0,,
1270,34.370388,-5.2982001,1,0.1432,127846000000.0,0.8056,3.51531,8.57554,22.5021,0,,
1271,34.2979164,-5.2987609,1,0.04253,298500000000.0,1.6026,0.563454,2.02936,7.06016,0,,
1287,34.3860016,-5.2939796,1,0.06869,11798100000.0,0.409,5.2927,40.3638,186.333,0,,
1292,34.3395615,-5.2986851,1,0.03095,15619900000.0,0.6143,1.02091,2.92773,7.41943,0,,
1326,34.2974396,-5.2986636,1,0.0416,211805000000.0,1.3917,0.177881,0.768731,2.78852,0,,
1327,34.3028336,-5.2990174,1,0.009847,69103100000.0,1.7685,0.762718,1.18619,1.06088,0,,
1340,34.3687057,-5.2978311,1,0.01763,15429400000.0,0.791,1.13805,3.5156,9.76041,0,,
1342,34.3388824,-5.2984867,1,0.03834,19349600000.0,0.6168,1.1255,1.81644,2.46159,0,,
1345,34.2992935,-5.2988954,1,0.003107,27121300000.0,2.1233,0.229094,0.339288,0.575432,0,,
1346,34.3819504,-5.2988086,1,0.01611,67446100000.0,1.3393,0.321961,0.587141,0.975108,0,,
1349,34.3202248,-5.2980313,1,0.1335,1179950000000.0,2.1334,0.916373,3.61811,15.5896,0,,
1351,34.3956528,-5.2985883,1,0.01089,75777400000.0,1.8232,0.663954,1.13476,1.51544,0,,
1354,34.327774,-5.2970428,1,0.07589,94545200000.0,0.9571,2.69127,6.21601,12.9813,0,,
1363,34.3905411,-5.2967362,1,0.1347,1357800000000.0,2.2602,1.71688,5.71463,19.1068,0,,
1364,34.3089066,-5.2966008,1,0.07113,410006000000.0,1.4559,2.67993,5.61515,11.4823,0,,
1365,34.3638458,-5.2981586,1,0.005082,146857000000.0,2.8173,1.11886,1.79459,2.21748,0,,
