Seq,RAJ2000,DEJ2000,Use,lmass,F24,LIR,SFR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN,l_down,l_up,160_good
6034,53.0708275,-27.8826599,1,7.64,0.022705,2499350000.0,0.2843,0.3502,0.079973,0.182972,0.273942,0,,,1530644473.6232555,3786897923.3582745,0
6174,53.073822,-27.8812485,1,9.12,0.003861,39745400000.0,4.967,2.2717,0.249141,0.440457,0.384333,0,,,28731600474.30728,52466138762.38825,0
6238,53.076107,-27.8809605,1,8.94,0.008136,94604600000.0,10.98,2.3589,0.220691,0.232349,0.342826,0,,,68644402802.8177,124452206445.90788,0
6344,53.0653534,-27.8786144,1,10.01,0.01301,77784800000.0,10.76,1.483,1.69969,3.47718,5.88586,0,,,52435737850.60992,107568313965.57924,0
6376,53.0647964,-27.8798676,1,9.05,0.00509,598843000000.0,65.95,3.4874,0.131181,0.193558,0.250797,0,,,457122630666.2777,756482510192.3889,0
6378,53.079174,-27.87957,1,8.33,0.003473,2073930000.0,0.2606,0.6606,0.0698769,0.149729,0.315574,0,,,1456302216.9930558,2804706032.2603817,0
6479,53.0812263,-27.8785763,1,8.32,0.0009525,1186640000.0,0.1488,0.9602,0.0298544,0.127113,0.211859,0,,,727950790.8947601,1728522025.0948567,0
6518,53.0747185,-27.878437,1,8.5,0.004603,11171300000.0,1.384,1.1917,0.145561,0.226637,0.354463,0,,,8188863813.400368,14588915332.21956,0
6550,53.0720444,-27.8775139,1,9.14,0.004075,7179390000.0,1.152,1.0721,0.390055,0.785803,1.47207,0,,,5209997096.150669,9464050547.71082,0
6640,53.0615883,-27.8771381,1,8.89,0.006717,623314000000.0,68.4,3.3528,0.117224,0.134558,0.0689002,0,,,474432715690.5757,789540336647.3248,0
6677,53.0736122,-27.8766613,1,9.85,0.008272,2572770000000.0,282.1,4.6995,0.314812,0.782618,0.0754509,0,,,1921945481403.135,3293258942969.138,0
6700,53.0774612,-27.8765488,1,8.84,0.003518,7607380000.0,0.8516,1.145,0.0487962,0.211446,0.405794,0,,,5555898794.21587,9968931285.117462,0
6706,53.058094,-27.8763924,1,9.31,-0.004287,-36890200000.0,-3.209,2.0974,0.324004,0.468167,0.61748,0,,,-26444306913.601807,-49076564603.91684,0
6756,53.0916634,-27.875845,1,7.78,-0.004174,-1722880000.0,-0.111,0.5658,0.184171,0.317821,0.497257,0,,,-1041705486.8837988,-2583117951.626775,0
6827,53.0812263,-27.8753662,1,6.86,-0.00832,-65285600.0,-0.006164,0.1241,0.0677863,0.211438,0.40818,0,,,-31567109.15338431,-118321826.70254757,0
6851,53.0788422,-27.8753662,1,8.25,-0.002694,-2774350000.0,-0.2503,0.8879,0.0655755,0.121325,0.243723,0,,,-1687826364.2869167,-4072457372.0166006,0
6936,53.0647011,-27.8744316,1,8.79,0.005439,9910140000.0,1.25,1.0829,0.171924,0.349243,0.550764,0,,,7198844785.99857,13051703143.236897,0
6953,53.0846863,-27.8746834,1,8.87,-0.002478,-313305000000.0,-33.91,3.5416,0.061753,0.11133,0.0946632,0,,,-239421648218.3361,-395369362988.3514,0
6956,53.0602303,-27.8744221,1,8.98,-0.01006,-522193000000.0,-56.54,3.1197,0.0945016,0.122616,0.176908,0,,,-395244233638.4952,-664947404361.6356,0
6968,53.0637436,-27.8743439,1,8.44,-0.001543,-4152420000.0,-0.2895,1.2165,0.1574,0.244318,0.285412,0,,,-2733975470.6275644,-5867657295.268785,0
6993,53.0675735,-27.874136,1,8.73,0.006135,12915800000.0,1.449,1.138,0.0587921,0.177198,0.338713,0,,,9427348864.187435,16934356871.055489,0
6994,53.0643501,-27.8744526,1,8.83,-0.0008103,-44428100000.0,-4.49,3.1374,0.0910001,0.119529,0.102944,0,,,-33642645016.439262,-56549426934.53557,0
7068,53.070488,-27.8735714,1,8.09,0.084405,88738700000.0,9.767,0.8937,0.12783,0.199417,0.170666,0,,,54024462564.92719,130173351771.85646,0
7093,53.0884323,-27.8732185,1,8.39,-0.001582,-1828690000.0,0.02661,0.9291,0.304227,0.501447,0.483733,0,,,-1117979601.8847604,-2672228177.176451,0
7153,53.081749,-27.8727779,1,7.94,0.002461,2347230000.0,0.333,0.8365,0.118146,0.208071,0.31085,0,,,1418359705.7695732,3466946460.2527227,0
7249,53.0622749,-27.8719521,1,8.97,-0.003449,-450874000000.0,-48.34,3.544,0.179822,0.217162,0.191154,0,,,-344565686845.48145,-568946282303.5265,0
7264,53.078125,-27.8708267,1,9.39,0.02492,118318000000.0,14.67,1.3691,1.2027,1.89293,2.73707,0,,,79047796474.38596,164976767395.56796,0
7267,53.086422,-27.8705082,1,8.45,-0.0118,-1233280000.0,0.1216,0.3959,1.53312,2.54752,4.21218,0,,,-774276533.9479301,-1829620611.5888937,0
7284,53.0678062,-27.8716812,1,8.75,0.001396,10255600000.0,1.412,1.9428,0.140945,0.230395,0.202573,0,,,7602443503.891005,13294291285.560444,0
7285,53.0829849,-27.8716621,1,7.75,-0.0154,-4139640000.0,-0.426,0.4823,0.0817695,0.131865,0.27403,0,,,-2437546189.662705,-6352610780.578138,0
7313,53.0994568,-27.8716393,1,8.28,-0.0008144,-2707470000.0,-0.2058,1.2724,0.0981418,0.163529,0.163355,0,,,-1792898466.3534486,-3805865882.885779,0
