Seq,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
5746,53.067131,-27.8838558,1,0.08642,2416350000000.0,2.9412,3.9602,6.63155,10.1122,0,,
5860,53.0606155,-27.8823376,1,0.2112,2014450000000.0,2.2177,1.68917,5.04693,13.6499,0,,
5864,53.0629921,-27.883194,1,0.01209,84169100000.0,1.8083,0.916463,4.23883,12.3374,0,,
5880,53.0605469,-27.8832989,1,0.04827,336816000000.0,1.8316,0.908232,1.976,4.13404,0,,
5886,53.0612335,-27.8827438,1,0.00938,18137100000.0,1.1001,1.42877,2.43973,3.55065,0,,
5928,53.0630035,-27.8835583,1,0.01734,12155200000.0,0.7154,0.168694,0.660878,2.10231,0,,
5971,53.0728188,-27.8800011,1,0.007272,13634800000.0,1.098,2.21922,13.7509,42.478,0,,
5972,53.0714798,-27.8809643,1,0.1282,174571000000.0,0.9668,1.81393,3.75089,10.2002,0,,
6020,53.069767,-27.8804836,1,0.01081,164020000000.0,2.5007,1.39239,6.10734,14.7954,0,,
6026,53.0668411,-27.8825855,1,0.00659,67837800000.0,2.2718,0.235456,0.354449,0.407363,0,,
6049,53.0711327,-27.8827362,1,0.001154,1437670000.0,0.9595,0.118258,0.236145,0.237244,0,,
6058,53.0631485,-27.8823833,1,0.0006659,4646490000.0,1.8389,0.10517,0.499737,1.48905,0,,
6148,53.0704803,-27.881649,1,0.01388,44127000000.0,1.2637,0.104844,0.166853,0.299587,0,,
6153,53.0688782,-27.8796158,1,0.1323,1803920000000.0,2.4497,1.07625,3.96452,18.0243,0,,
6179,53.0749817,-27.880394,1,0.003676,6476430000.0,1.0748,0.251777,0.921169,2.33416,0,,
6235,53.0726891,-27.880621,1,0.00222,58054100000.0,2.7769,0.642779,1.33275,2.9481,0,,
6243,53.0692711,-27.8787708,1,0.1049,173039000000.0,1.0372,1.49261,4.23872,14.6567,0,,
6249,53.0703964,-27.8804264,1,0.006623,9018600000.0,0.9922,0.13528,0.25834,0.511668,0,,
6258,53.0651588,-27.8800716,1,0.004506,113122000.0,0.2425,0.462155,0.942638,1.29191,0,,
6264,53.0757675,-27.8807812,1,0.0065,141905000000.0,2.6792,0.206897,0.236629,0.421708,0,,
6276,53.0787811,-27.8804207,1,0.0009838,653532000.0,0.6952,0.0631908,0.119783,0.206929,0,,
6282,53.0794067,-27.8800926,1,0.004124,6802780000.0,1.0555,0.503869,0.943785,1.49928,0,,
6292,53.0783348,-27.8785057,1,0.01976,26111100000.0,0.9814,3.49267,5.04108,6.58173,0,,
6302,53.0630608,-27.8799019,1,0.001147,2217820000.0,1.0978,0.62192,0.972428,1.26256,0,,
6323,53.0673676,-27.8781548,1,0.002967,5563060000.0,1.0934,1.28209,6.00727,17.1526,0,,
6328,53.0692253,-27.8799324,1,0.005101,3480380000.0,0.7064,0.0823508,0.155923,0.370198,0,,
6329,53.0684929,-27.8793106,1,0.03303,558777000000.0,2.5538,0.544083,1.23476,2.58685,0,,
6336,53.0751419,-27.8800602,1,0.001487,217061000000.0,3.6199,0.137302,0.250462,0.221882,0,,
6356,53.0631752,-27.8783588,1,0.001994,3289220000.0,1.0495,0.788816,1.43677,2.16375,0,,
6365,53.0713081,-27.8797855,1,0.003382,66281000000.0,2.6203,0.0667091,0.204591,0.258854,0,,
6377,53.0800247,-27.8793507,1,0.003381,9482410000.0,1.2301,0.307644,0.432618,0.49237,0,,
6398,53.0597115,-27.8777256,1,0.007902,369473000.0,0.2518,1.68086,3.94913,5.99318,0,,
6417,53.0678177,-27.8787289,1,0.007287,2188200000000.0,4.5734,0.402948,0.740483,0.642808,0,,
6426,53.0729332,-27.8783264,1,0.004515,7954590000.0,1.069,0.299547,1.57658,4.29892,0,,
6436,53.0775375,-27.8787632,1,0.01345,12828200000.0,0.8367,0.208245,0.415634,0.558744,0,,
6447,53.0785789,-27.8790359,1,0.01299,12389500000.0,0.8379,0.0562136,0.123778,0.202406,0,,
6454,53.0792236,-27.8786469,1,0.006307,9437160000.0,1.0175,0.243422,0.409389,0.489019,0,,
6455,53.0739479,-27.8782558,1,0.008666,22478400000.0,1.2113,0.194281,0.587297,1.07286,0,,
6475,53.0757904,-27.8785954,1,0.002885,97947900000.0,2.9228,0.251062,0.381163,0.558327,0,,
6476,53.0840836,-27.8773136,1,0.03414,220111000000.0,1.5345,1.57637,3.34456,6.61982,0,,
6477,53.0727539,-27.8763123,1,0.006206,11999800000.0,1.1017,2.34693,12.3094,36.2372,0,,
6485,53.0619698,-27.8767414,1,0.01631,31536800000.0,1.09,1.85319,3.59735,6.2953,0,,
6488,53.0714493,-27.8755627,1,0.01283,25530100000.0,1.118,1.26064,7.55235,25.9479,0,,
6497,53.0739288,-27.8777542,1,0.005923,10435200000.0,1.076,0.536292,1.05284,1.75078,0,,
6525,53.0840263,-27.8765602,1,0.02939,935044000000.0,2.8787,0.910839,1.75457,4.30425,0,,
6533,53.0713539,-27.8774357,1,0.003424,6238710000.0,1.0866,1.00381,1.72942,2.39708,0,,
6534,53.0705109,-27.8754501,1,0.05175,30903000000.0,0.6611,2.50888,5.13494,10.5452,0,,
6542,53.0792847,-27.8772469,1,0.000797,231411000000.0,4.5932,1.03351,1.42267,1.63423,0,,
6555,53.0844994,-27.8758335,1,0.004196,8589200000.0,1.1354,2.01698,9.71539,24.7628,0,,
6575,53.0696831,-27.875782,1,0.00659,12007300000.0,1.0845,0.887472,1.72474,2.92558,0,,
6579,53.0679359,-27.8768692,1,0.01381,22051500000.0,1.0441,1.18608,1.87499,2.29701,0,,
6580,53.0602989,-27.876049,1,0.2216,1569660000000.0,1.7389,0.44944,1.82537,9.13504,0,,
6610,53.0591469,-27.8777122,1,0.005168,135146000000.0,2.7665,0.193961,0.247057,0.774315,0,,
6635,53.0733833,-27.8745747,1,0.2723,526516000000.0,1.1116,5.26532,19.4646,64.6261,0,,
6642,53.0844193,-27.8727741,1,0.8995,94011700000.0,0.3547,7.77764,25.1694,93.2806,0,0.0,0.0
6664,53.068882,-27.8771095,1,0.002563,725253000000.0,4.331,0.157932,0.303277,0.620675,0,,
6667,53.0603676,-27.8765965,1,0.0131,122874000000.0,2.1984,0.0804149,0.238086,0.498938,0,,
6704,53.0866776,-27.8760815,1,0.004408,8031600000.0,1.0861,0.609757,1.03438,1.2591,0,,
6705,53.0744743,-27.8767204,1,0.003973,1464730000000.0,5.9343,0.302488,0.482338,0.431838,0,,
6707,53.0658188,-27.8764,1,0.006215,29508300000.0,1.3691,0.159923,0.306758,0.399005,0,,
6722,53.0740204,-27.8761654,1,0.003952,29781300000.0,1.9704,0.254103,0.436761,0.68572,0,,
6738,53.0611,-27.8758316,1,0.003257,443758000000.0,3.587,0.776366,1.29589,2.17373,0,,
6739,53.0657997,-27.8755684,1,0.01466,92836600000.0,1.5219,0.698526,1.49146,2.43859,0,,
6743,53.0764694,-27.8763313,1,0.01807,1603890000000.0,3.3309,0.120703,0.275318,0.393217,0,,
6745,53.0665016,-27.8761921,1,0.005525,108280000000.0,2.6164,0.260589,0.366978,0.790748,0,,
6747,53.068264,-27.8760681,1,0.01161,282754000000.0,2.731,0.146015,0.254879,0.293176,0,,
6755,53.0748062,-27.8758945,1,0.0008786,99622300000.0,3.4708,0.149544,0.456149,1.88156,0,,
6764,53.0948372,-27.8733158,1,0.1444,1397730000.0,0.1347,12.5801,29.7934,57.4488,0,,0.0
6776,53.0904694,-27.8750172,1,0.002251,685086000.0,0.5046,0.950172,1.69559,2.24724,0,,
6798,53.0858459,-27.8759575,1,0.004805,101259000000.0,2.6621,0.26953,0.233252,0.32215,0,,
6838,53.0743141,-27.8750763,1,0.000138,9431890000.0,3.2195,0.264456,0.340658,0.539254,0,,
6844,53.0699615,-27.8747368,1,0.003931,479776000000.0,3.5086,0.560858,0.737506,0.869496,0,,
6849,53.0698051,-27.874506,1,0.00196,101739000000.0,3.1184,0.848118,1.18794,1.42454,0,,
6852,53.0932541,-27.875082,1,0.0005912,99899000000.0,3.7074,0.268688,0.642441,1.00261,0,,
6860,53.0681953,-27.8754387,1,0.003402,59710600000.0,2.5713,0.0902078,0.184164,0.33679,0,,
6876,53.0945473,-27.8749924,1,0.001269,113195000.0,0.3194,0.0662421,0.112095,0.339622,0,,
6888,53.0665817,-27.8744907,1,0.005646,41023200000.0,1.9197,0.286525,0.928863,2.08615,0,,
6900,53.0784874,-27.8731995,1,0.01081,592704000000.0,3.1378,1.30626,2.05421,3.56151,0,,
6904,53.0766144,-27.8742332,1,0.000225,655668000.0,1.2472,0.300043,0.555814,0.704735,0,,
6921,53.07658,-27.8733234,1,0.04341,32910200000.0,3.5354,0.20876,0.467634,1.92051,0,,
6940,53.0678711,-27.8745041,1,0.004473,1239530000000.0,4.2817,0.343135,0.905277,1.35553,0,,
6955,53.0669861,-27.8735332,1,0.003599,6340770000.0,1.0725,0.598433,0.980082,1.25784,0,,
6988,53.0671806,-27.873867,1,0.006095,143026000000.0,2.7193,0.306515,0.537526,0.81271,0,,
6990,53.0826721,-27.8739853,1,0.004481,8401780000.0,1.0901,0.173969,0.326406,0.470727,0,,
7003,53.0649757,-27.8735809,1,0.008634,61396600000.0,1.6256,0.232903,0.408234,0.461498,0,,
7004,53.0786171,-27.8740635,1,0.005089,51298200000.0,2.2585,0.196617,0.258375,0.499396,0,,
7005,53.0939445,-27.8727245,1,0.04877,46515500000.0,0.825,2.13526,4.41844,8.22372,0,,
7011,53.0641861,-27.8740387,1,0.001332,403197000000.0,4.6,0.19821,0.279954,0.063303,0,,
7012,53.0739594,-27.8741341,1,0.000633,13819300000.0,2.6777,0.209304,0.381417,2.52503,0,,
7029,53.0765686,-27.8738155,1,0.008642,314295000000.0,2.9514,0.192762,0.399331,0.498691,0,,
7035,53.0642509,-27.8736057,1,0.001956,5485830000.0,1.2347,0.364828,0.481743,0.428432,0,,
7036,53.0785027,-27.8736629,1,0.008232,179717000000.0,2.6743,0.219345,0.277351,0.404734,0,,
7042,53.0796204,-27.8738594,1,0.003556,15587800000.0,1.3504,0.0446695,0.11912,0.253896,0,,
7084,53.0902252,-27.8736191,1,0.001795,11137100000.0,1.503,0.185856,0.265356,0.382107,0,,
7094,53.0850716,-27.8733921,1,0.001332,347735000000.0,4.073,0.199706,0.743489,0.325788,0,,
